entity_key,source_handle,dwg_type,source_layer,text,canonical_disposition,delivery_feature_count,delivery_layers,meaning,definition_entity_key,definition_retained_in_canonical_ledger,instance_parent_keys,all_instance_parents_retained_in_canonical_ledger,instance_parent_dispositions
14e5420065bad678adefbc0b0a83839a0be9776e0d0cd2852ec386044bfd1396,66E6,LWPOLYLINE,FDT STRUCTURE,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
14f3255a49d74bba7af872e6cbef30bc367851a3a8534e84982bcfa04360353d,56E8,LWPOLYLINE,Expansion Core,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
150247e6a346a0f0736da47e9659cd1c9753b7f783c2909d5968407089d13217,69BB,ARC,Line,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
1502e54b42c438b6aebe2f6eb28f2c5134923c29bd507a3df2195ea945581b00,577A,TEXT,FAT SP,1,annotation,0,{},not_delivered_not_automatically_missing,,False,,False,
150ff9176adb2fa33de741fc7b78de8beeaca0c3818ffa585d105b4ff3a35acb,687A,TEXT,FDT STRUCTURE,4,annotation,0,{},not_delivered_not_automatically_missing,,False,,False,
154ff0a071af46309f4e0dcadbead871d1dcd2af6c7ae35b825df475ffcf57d7,324B,LINE,SLING WIRE,,mapped,0,{},not_delivered_not_automatically_missing,,False,,False,
157ca3fb070621b649d2749170266c0cd9278679a29507f75af1261250f83986,64E1,LWPOLYLINE,FDT STRUCTURE,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
15c9dd9f8548a19070bb7373c8678d5a3ee5f18e765903f243ffd6923fb241c8,57AE,TEXT,Service Core,F27,annotation,0,{},not_delivered_not_automatically_missing,,False,,False,
15e0dcabfad1683d6729fdf5221705118c25a75880ab46ee48eb1dcc5629b78e,67CF,LWPOLYLINE,FDT STRUCTURE,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
163512b724686bb20ea3cf80c4be23812235519afde32b539c481e3576db83ac,6950,LINE,Line,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
163a29512755fc26c1869e6fcbdd17b595d75d1eaf5f0e5dcef9d4d2e3f48b4c,79BE,LWPOLYLINE,ONT-MDU,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
164c0ee741643cb94a3d0296254bd6ba280b6b1e69f60c6133d3204f973a81d3,6857,ELLIPSE,FDT STRUCTURE,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
1659f5003a65dc2f60b2d4255f2229b331f7b6e66fc8ee430326a1b07338e88f,6664,LWPOLYLINE,FDT STRUCTURE,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
1665d4931787d1c28c878848a14592617d7c57e62b18fc6b6a631ecb5f39ff11,68B7,LWPOLYLINE,Line,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
166be6d06dd523054bc6f8238b5815196c235c83c0efb5fbd5425450081df0be,2BC,TEXT,TIANG,EXT PLN,annotation,0,{},not_delivered_not_automatically_missing,,False,,False,
16ad0bf5f82d650836c3caa26c7c48c9a6598c7654cfb9c3640d62b173d689dd,6823,LWPOLYLINE,FDT STRUCTURE,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
16b205687cd1f944a7a3c7f50d4f447bbe54d12fdfe2bcdac9c73f4cf1f4c908,6656,LWPOLYLINE,FDT STRUCTURE,,graphic_only,0,{},not_delivered_not_automatically_missing,,False,,False,
16c546adf016131e213cd52cbcc85f2041e94a30f8a0eba9ec2afee3bcb2b688,560D,TEXT,FDT SP,8,annotation,0,{},not_delivered_not_automatically_missing,,False,,False,
